cty,01001,AL: Autauga,2023,03,PRCP,     0.00,     0.81,     6.09,     1.56,     0.00,     0.00,     0.00,     0.00,     0.00,    16.61,     3.64,     2.98,     7.58,     0.00,     0.00,     0.00,     0.05,    12.38,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     6.99,    10.72,    42.00,     3.59,     0.18,     0.00,  -999.99
cty,01003,AL: Baldwin County,2023,03,PRCP,     0.00,     0.41,     0.78,     1.25,     0.00,     0.33,     0.00,     0.00,     1.21,     0.00,     0.00,     1.63,    19.21,     0.00,     0.00,     0.00,     0.00,    11.96,     0.00,     0.00,     0.00,     0.00,     0.00,     0.01,     0.64,     2.19,     2.52,    16.68,     9.92,     0.26,  -999.99
cty,01005,AL: Barbour County,2023,03,PRCP,     0.00,     1.74,     2.39,     0.49,     0.00,     0.00,     0.00,     0.00,     0.00,     5.76,     2.51,     0.00,    14.35,     0.00,     0.00,     0.00,     0.00,    13.69,     0.00,     2.98,     0.00,     0.00,     0.00,     0.00,     0.00,     8.19,    12.35,    19.10,     8.05,     0.00,  -999.99
cty,01007,AL: Bibb County,2023,03,PRCP,     0.00,     1.46,    12.11,     2.64,     0.00,     0.00,     0.00,     0.00,     0.11,    14.16,     0.81,     6.91,     8.20,     0.00,     0.00,     0.00,     2.12,    10.40,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     9.11,     7.62,    41.11,     0.00,     0.00,     0.00,  -999.99
cty,01009,AL: Blount County,2023,03,PRCP,     0.00,    12.43,    23.63,     5.90,     0.00,     0.00,     0.00,     0.00,     1.41,    19.53,     0.25,    21.11,     2.69,     0.00,     0.00,     0.00,     4.24,     6.61,     0.00,     0.00,     0.00,     1.33,     0.78,     0.00,    26.35,     1.37,    12.20,     0.00,     0.00,     0.00,  -999.99
cty,01011,AL: Bullock County,2023,03,PRCP,     0.00,     1.45,     3.58,     0.78,     0.00,     0.00,     0.00,     0.00,     0.00,     9.94,     3.69,     0.00,    11.26,     0.00,     0.00,     0.00,     0.00,    12.53,     0.00,     0.86,     0.00,     0.00,     0.00,     0.00,     1.68,     9.91,    19.07,    14.64,     4.20,     0.00,  -999.99
cty,01013,AL: Butler County,2023,03,PRCP,     0.00,     0.00,     1.61,     0.21,     0.00,     0.00,     0.00,     0.00,     0.00,     4.04,     0.68,     0.00,    17.55,     0.00,     0.00,     0.00,     0.00,    12.26,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     1.84,     9.20,    19.97,    14.87,     5.54,     0.00,  -999.99
cty,01015,AL: Calhoun County,2023,03,PRCP,     0.00,     5.37,    20.95,     7.38,     0.00,     0.00,     0.00,     0.00,     0.51,    23.68,     1.06,    20.51,     3.48,     0.00,     0.00,     0.00,     2.00,     7.29,     0.00,     0.00,     0.00,     0.27,     0.29,     0.00,    19.84,     3.63,    17.63,     0.00,     0.00,     0.00,  -999.99
cty,01017,AL: Chambers County,2023,03,PRCP,     0.00,     1.91,    10.37,     3.13,     0.00,     0.00,     0.00,     0.00,     0.00,    20.52,     3.31,     6.37,     7.89,     0.00,     0.00,     0.00,     0.08,    13.75,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     6.14,     9.84,    45.30,     6.91,     0.45,     0.00,  -999.99
cty,01019,AL: Cherokee County,2023,03,PRCP,     0.00,     7.05,    20.60,    10.62,     0.00,     0.00,     0.00,     0.00,     0.27,    15.22,     0.69,    22.16,     4.02,     0.00,     0.00,     0.00,     2.64,     6.83,     0.00,     0.00,     0.00,     1.18,     2.17,     0.00,    22.40,     0.07,    16.44,     0.00,     0.00,     0.00,  -999.99
cty,01021,AL: Chilton County,2023,03,PRCP,     0.00,     1.47,    10.67,     2.13,     0.00,     0.00,     0.00,     0.00,     0.00,    19.72,     3.71,     6.57,     7.00,     0.00,     0.00,     0.00,     1.03,    11.14,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     9.51,    10.28,    41.61,     0.54,     0.00,     0.00,  -999.99
cty,01023,AL: Choctaw County,2023,03,PRCP,     0.00,     0.00,     1.90,     1.22,     0.00,     0.00,     0.00,     0.00,     0.61,     1.10,     0.00,     3.07,    21.31,     0.00,     0.00,     0.00,     2.82,     9.76,     0.00,     0.00,     0.00,     0.00,     0.00,     0.09,     1.78,     4.64,    29.16,     5.11,     0.00,     0.00,  -999.99
cty,01025,AL: Clarke County,2023,03,PRCP,     0.00,     0.00,     0.81,     1.13,     0.00,     0.00,     0.35,     0.00,     0.06,     0.37,     0.00,     0.50,    22.41,     0.00,     0.00,     0.00,     0.22,    12.01,     0.00,     0.00,     0.00,     0.05,     0.00,     0.00,     1.10,     4.74,    16.36,    14.86,     0.93,     0.00,  -999.99
cty,01027,AL: Clay County,2023,03,PRCP,     0.00,     3.08,    16.75,     5.02,     0.00,     0.00,     0.00,     0.00,     0.01,    24.98,     2.00,    14.02,     5.48,     0.00,     0.00,     0.00,     1.22,    10.24,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,    14.18,     9.31,    35.40,     1.23,     0.00,     0.00,  -999.99
cty,01029,AL: Cleburne County,2023,03,PRCP,     0.01,     4.32,    18.92,     8.49,     0.00,     0.00,     0.00,     0.00,     0.35,    24.22,     1.23,    18.76,     5.89,     0.00,     0.00,     0.00,     1.51,     9.34,     0.00,     0.00,     0.00,     0.06,     0.21,     0.00,    16.25,     3.99,    28.42,     0.52,     0.00,     0.00,  -999.99
cty,01031,AL: Coffee County,2023,03,PRCP,     0.00,     0.14,     1.10,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.73,     1.04,     0.00,    23.40,     0.00,     0.00,     0.00,     0.00,    16.26,     1.02,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     9.75,    11.51,    26.26,    11.22,     0.00,  -999.99
